avg_monthly_hours,department,last_evaluation,left,number_project,promotion_last_5years,salary,satisfaction_level,time_spend_company,work_accident
157,sales,0.53,sim,2,nao,low,0.38,3,nao
262,sales,0.86,sim,5,nao,medium,0.8,6,nao
272,sales,0.88,sim,7,nao,medium,0.11,4,nao
223,sales,0.87,sim,5,nao,low,0.72,5,nao
159,sales,0.52,sim,2,nao,low,0.37,3,nao
153,sales,0.5,sim,2,nao,low,0.41000000000000003,3,nao
247,sales,0.77,sim,6,nao,low,0.1,4,nao
259,sales,0.85,sim,5,nao,low,0.92,5,nao
224,sales,1.0,sim,5,nao,low,0.89,5,nao
142,sales,0.53,sim,2,nao,low,0.42,3,nao
135,sales,0.54,sim,2,nao,low,0.45,3,nao
305,sales,0.81,sim,6,nao,low,0.11,4,nao
234,sales,0.92,sim,4,nao,low,0.84,5,nao
148,sales,0.55,sim,2,nao,low,0.41000000000000003,3,nao
137,sales,0.56,sim,2,nao,low,0.36,3,nao
143,sales,0.54,sim,2,nao,low,0.38,3,nao
160,sales,0.47000000000000003,sim,2,nao,low,0.45,3,nao
255,sales,0.99,sim,4,nao,low,0.78,6,nao
160,sales,0.51,sim,2,sim,low,0.45,3,sim
262,sales,0.89,sim,5,nao,low,0.76,5,nao
282,sales,0.8300000000000001,sim,6,nao,low,0.11,4,nao
147,sales,0.55,sim,2,nao,low,0.38,3,nao
304,sales,0.9500000000000001,sim,6,nao,low,0.09,4,nao
139,sales,0.5700000000000001,sim,2,nao,low,0.46,3,nao
158,sales,0.53,sim,2,nao,low,0.4,3,nao
242,sales,0.92,sim,5,nao,low,0.89,5,nao
239,sales,0.87,sim,4,nao,low,0.8200000000000001,5,nao
135,sales,0.49,sim,2,nao,low,0.4,3,nao
128,accounting,0.46,sim,2,nao,low,0.41000000000000003,3,nao
132,accounting,0.5,sim,2,nao,low,0.38,3,nao
294,accounting,0.62,sim,6,nao,low,0.09,4,nao
134,hr,0.5700000000000001,sim,2,nao,low,0.45,3,nao
145,hr,0.51,sim,2,nao,low,0.4,3,nao
140,hr,0.55,sim,2,nao,low,0.45,3,nao
246,hr,0.87,sim,4,nao,low,0.84,6,nao
255,technical,0.9400000000000001,sim,6,nao,low,0.1,4,nao
137,technical,0.46,sim,2,nao,low,0.38,3,nao
126,technical,0.5,sim,2,nao,low,0.45,3,nao
306,technical,0.89,sim,6,nao,low,0.11,4,nao
152,technical,0.54,sim,2,nao,low,0.41000000000000003,3,nao
269,technical,0.88,sim,5,nao,low,0.87,5,nao
158,technical,0.48,sim,2,nao,low,0.45,3,nao
127,technical,0.46,sim,2,nao,low,0.4,3,nao
281,technical,0.8,sim,7,nao,low,0.1,4,nao
276,technical,0.89,sim,6,nao,low,0.09,4,nao
182,technical,0.74,sim,3,nao,low,0.84,4,nao
147,support,0.55,sim,2,nao,low,0.4,3,nao
273,support,0.7000000000000001,sim,3,nao,low,0.5700000000000001,6,nao
